StudentID,TimeID,ItemID,Score
1,1,1,3
2,1,1,1
3,1,1,3
4,1,1,2
5,1,1,2
6,2,1,2
7,2,1,3
8,2,1,3
9,2,1,3
10,2,1,2
11,3,1,2
12,3,1,3
13,3,1,3
14,3,1,2
15,3,1,2
16,4,1,2
17,4,1,3
18,4,1,1
19,4,1,1
20,4,1,3
21,5,2,3
22,5,2,1
23,5,2,3
24,5,2,1
25,5,2,2
26,6,2,3
27,6,2,3
28,6,2,3
29,6,2,3
30,6,2,3
31,7,2,1
32,7,2,1
33,7,2,3
34,7,2,3
35,7,2,3
36,8,2,3
37,8,2,3
38,8,2,3
39,8,2,3
40,8,2,3
41,9,3,3
42,9,3,3
43,9,3,3
44,9,3,3
45,9,3,3
46,10,3,3
47,10,3,3
48,10,3,1
49,10,3,1
50,10,3,3
51,11,3,2
52,11,3,3
53,11,3,2
54,11,3,3
55,11,3,3
56,12,3,4
57,12,3,4
58,12,3,3
59,12,3,3
60,12,3,1
